"crop","sum","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Moong(Green Gram)","18.3346624317116872","Chhattisgarh",2017,"0.9","0.7","3.5","0.8","15.6","184.8","378.3","300.4","177.7","61.6","0.2","0","1124.5","21.66374","81.84064000000002"
"Maize","20.1797357798873856","Uttarakhand",2008,"55.6","11.7","18.1","93","67.3","332.4","313.3","245.8","190.8","23.1","11.9","0.6","1363.5999999999997","30.04174","79.08969"
"Moong(Green Gram)","42.6366452422011871","Bihar",2007,"0.2","34.2","25.4","20.3","94.4","170.4","549.4","340.6","309","39.6","9.1","7.5","1600.1","25.64408","85.90651"
"Rice","18.4185101011626223","Arunachal Pradesh",2006,"6","103.7","63.3","202.7","321.7","520.4","382.2","227.6","263.2","77.2","69.7","21.7","2259.399999999999","28.093770000000006","94.59213"
"Moong(Green Gram)","3.5341540124821858","Himachal Pradesh",2010,"25.5","96.6","45.1","60.3","81.4","108.5","291.8","274.1","176.7","30.5","10.8","58.1","1259.4","31.81676","77.34931999999998"
"Rice","26.6447430321851970","Uttarakhand",2004,"58.5","11.7","0","51.5","66","130.7","400.9","326.3","96.8","70.7","0.8","5.7","1219.6","30.04174","79.08969"
"Moong(Green Gram)","11.2898126539160486","Telangana",2015,"17.5","0","43","65.7","23.3","266.9","104.4","160.5","158.3","15.6","0.3","1.7","857.1999999999997","17.84959","79.11516999999998"
"Maize","22.5938479528850436","Arunachal Pradesh",2005,"48.4","167.6","229.5","195.3","179.8","269.3","430.8","400","243.6","139.3","28.6","3.3","2335.5","28.093770000000006","94.59213"
"Moong(Green Gram)","7.4052513946649565","Chhattisgarh",2009,"1.2","0","2.3","1.9","11.2","45.3","455","247.1","104.7","43.6","42.5","1.9","956.7","21.66374","81.84064000000002"
"Maize","18.6942178862070880","Chhattisgarh",2000,"2.6","0","0.6","1.5","9.3","180.7","322.4","215.6","169.1","4.3","0.2","0.1","906.4","21.66374","81.84064000000002"
"Maize","16.8433782904912367","Jharkhand",2002,"9","5.4","10.7","11.5","38.7","184.9","186.8","277.4","253.4","55","1.3","0.8","1034.9","23.45598","85.25573"
"Rice","84.8024059808452680","Kerala",2001,"16.5","28.3","7","238","238.6","715.3","598.5","361.3","216.8","319.6","181","10.1","2931","10.35287","76.51204"
"Rice","16.1675123488818222","Himachal Pradesh",2003,"39.5","116.6","113","52.9","35.9","61.4","187.7","228.7","135.5","0.3","22.5","40.4","1034.4","31.81676","77.34931999999998"
"Maize","42.7392215627509739","Punjab",2007,"1.2","68.8","48.2","10","5.9","64.4","95.1","215.4","73.7","0.6","0.9","10.6","594.8000000000002","30.92932","75.50048000000002"
"Maize","0","Tamil Nadu",2005,"4.1","11.1","24.4","128","80.6","35.7","87.9","93.3","117.9","280.5","353.4","148.5","1365.4","10.90943","78.36653000000003"
"Maize","246.4948987836428643","Bihar",2005,"13.9","14.3","12.1","7.7","28.6","82.5","300","309.1","105.1","34.3","0","0.2","907.8","25.64408","85.90651"
"Maize","34.4056974955464663","Himachal Pradesh",2015,"67.2","156.6","192.5","84.9","45","85.8","249.9","195.9","75.5","17.7","14.5","25","1210.5","31.81676","77.34931999999998"
"Urad","6.1080500938079479","Uttarakhand",2004,"58.5","11.7","0","51.5","66","130.7","400.9","326.3","96.8","70.7","0.8","5.7","1219.6","30.04174","79.08969"
"Urad","14.4992577819321894","Chhattisgarh",2017,"0.9","0.7","3.5","0.8","15.6","184.8","378.3","300.4","177.7","61.6","0.2","0","1124.5","21.66374","81.84064000000002"
"Rice","129.4981439743122539","Bihar",2003,"13.2","39.7","10.2","21.9","41.4","230.9","356.8","310.6","183.9","142","0.2","3","1353.8000000000004","25.64408","85.90651"
"Urad","19.9607259404720224","Bihar",2001,"1","0.5","3","12.6","98.4","224.4","224.7","225.9","274.8","181.3","0.5","0","1247.1","25.64408","85.90651"
"Rice","34.4377433432210137","Uttarakhand",2016,"5.4","29.3","45.8","9.9","99.3","174.4","508.4","308.5","111.4","12.7","0","3.5","1308.6","30.04174","79.08969"
